image,price(PKR),brand,title
https://static.daraz.pk/KgJU8yDIWbIUhKBU-ELJQlE21YQ=/fit-in/220x220/filters:fill(white)/product/75/71056/1.jpg?5209,9569,Samsung ,Galaxy J1 Mini Prime - 8GB - Black
https://static.daraz.pk/apxTo1gm7CsI02Mk1LMfGGy_FIk=/fit-in/220x220/filters:fill(white)/product/20/33436/1.jpg?5104,33000,Samsung ,J710F - Galaxy J7 - 16GB - Gold With Free 16 GB Memory Card
https://static.daraz.pk/He1a3X3KtSmTjB9btFOA7V-1LPU=/fit-in/220x220/filters:fill(white)/product/70/33436/1.jpg?5193,29800,Samsung ,J510F - Galaxy J5 - 16GB - With Free 16 GB Memory Card - Gold
https://static.daraz.pk/IhRMN7oVbGyEeZWOdySFuUUb3AE=/fit-in/220x220/filters:fill(white)/product/61/33436/1.jpg?5179,15000,Samsung ,J120F - Galaxy J1 - 8GB - With Free Kingston 16 GB Micro SD Card - White
https://static.daraz.pk/RPTXBtXExMTZkleM9mHar19v1D8=/fit-in/220x220/filters:fill(white)/product/50/33436/1.jpg?5165,31000,Samsung ,J510F - Galaxy J5 - 16GB - With Free 16 GB Memory Card - White
https://static.daraz.pk/Rjtnv9VaMWliBN8NCCpY5lVfHLc=/fit-in/220x220/filters:fill(white)/product/10/33436/1.jpg?5088,33000,Samsung ,J710F - Galaxy J7 - 16GB - Black With Free 16 GB Memory Card
https://static.daraz.pk/j1Q68atcoIbzszAhhpU4arSCZw0=/fit-in/220x220/filters:fill(white)/product/00/33436/1.jpg?5074,33000,Samsung ,J710F - Galaxy J7 - 16GB - White with Free 16 GB Memory Card
https://static.daraz.pk/-JDg0bTIP-o1RUd0KXA5YOfhsTY=/fit-in/220x220/filters:fill(white)/product/65/13245/1.jpg?6928,25000,Samsung ,Galaxy E7 (Dual Sim) E700H - 16GB - White
https://static.daraz.pk/sseQYQJfFIh85O1XbDqeezIsm6o=/fit-in/220x220/filters:fill(white)/product/81/13245/1.jpg?9624,13500,Samsung ,G360G - Galaxy Core Prime - 8GB  - White
https://static.daraz.pk/RNTaqGNOQloHgKZDMaYN0SCdl1g=/fit-in/220x220/filters:fill(white)/product/76/76946/1.jpg?5210,30699,Samsung ,"Galaxy A3 - 4.7"" - 2GB - 16GB - 13MP - Gold"
https://static.daraz.pk/IIqSY-EVeNtKQvJJPSPaqnBRO1w=/fit-in/220x220/filters:fill(white)/product/01/22476/1.jpg?5435,35199,Samsung ,"Galaxy J7 Pro - 5.5"" - 3GB - 64GB - 13MP - LTE - Black"
https://static.daraz.pk/fZEKjDaIpNU0QVPtUfRQE5Er2nQ=/fit-in/220x220/filters:fill(white)/product/04/31576/1.jpg?0069,400,Samsung ,Handsfree Earphone
https://static.daraz.pk/pQm3PwYImP3L5LLCvm-5Co35dIQ=/fit-in/220x220/filters:fill(white)/product/23/38376/1.jpg?9016,27840,Samsung ,"Samsung J7 Prime - 4G - 3 GB RAM - 16GB - 5.5"" - 13 MP - Black"
https://static.daraz.pk/J2Kt2x4ZwIbM_-9p6Of_DtYcFho=/fit-in/220x220/filters:fill(white)/product/48/79376/1.jpg?9374,30499,Samsung ,"Galaxy J5 Pro - 5.2"" - 2GB - 16GB - 13MP - LTE - Blue Silver"
https://static.daraz.pk/F2Ph7rdyRjTlzTV9R7x2FhVrQwE=/fit-in/220x220/filters:fill(white)/product/28/79376/1.jpg?9352,30499,Samsung ,"Galaxy J5 Pro - 5.2"" - 2GB - 16GB - 13MP - LTE - Black"
https://static.daraz.pk/UJKHMt3UzV1rzupSG04wjWt62wY=/fit-in/220x220/filters:fill(white)/product/92/35376/1.jpg?4134,3399,Samsung ,TJ - Wireless Charger For Galaxy Note 5 & S6 Edge Plus - Black
https://static.daraz.pk/ovFgbqrlYnvQ8IqjctZSv0PZL6w=/fit-in/220x220/filters:fill(white)/product/96/02376/1.jpg?1487,500,Samsung ,Fast Charging Travel Adapter - White
https://static.daraz.pk/7vx52g7HG8SA7eT_vZ2TXgexoTg=/fit-in/220x220/filters:fill(white)/product/05/02376/1.jpg?0163,1499,Samsung ,Samsung 32GB Memory Card - Orange
https://static.daraz.pk/ZUQk73CN9CHruvC7NFGwkrqFMgE=/fit-in/220x220/filters:fill(white)/product/03/50376/1.jpg?2003,999,Samsung ,Rapid Car Charger for Samsung - White
https://static.daraz.pk/Zo37L1xm7D7fhqAumRneeFxylk8=/fit-in/220x220/filters:fill(white)/product/69/41376/1.jpg?0913,1199,Samsung ,"Pack of 3 -  Charger, Handsfree & Data Cable - White"
https://static.daraz.pk/JcUO9CK0RFWXHm8ExmKkeNpBmaA=/fit-in/220x220/filters:fill(white)/product/59/51376/1.jpg?3571,799,Samsung ,Samsung Fast Charger Travel Adapter with USB Data Cable for Samsung & Extra Copper Cable
https://static.daraz.pk/pV1DcI51CPv14479djF_JwnsyX0=/fit-in/220x220/filters:fill(white)/product/61/89276/1.jpg?5894,1800,Samsung ,S8 Edge Plus Screen Protector - Black
https://static.daraz.pk/7Jtm60ByM5dmMVLbS7cVvYF7GJs=/fit-in/220x220/filters:fill(white)/product/22/50376/1.jpg?1945,1122,Samsung ,Galaxy Note 4 Genuine Fast Charger with Cable - White
https://static.daraz.pk/LZAuBC5aQsaMKsgUhnQpNLzi03Y=/fit-in/220x220/filters:fill(white)/product/01/89276/1.jpg?5493,4500,Samsung ,Bluetooth Stereo Earphones - Level U - Gold
https://static.daraz.pk/x8eHB9k9CNdnsIcaF3-GC8YnoLc=/fit-in/220x220/filters:fill(white)/product/70/32376/1.jpg?3219,27999,Samsung ,"J7 Prime - 5.5"" - 16GB  - 3GB RAM - 13MP - Gold"
https://static.daraz.pk/hUUFrWwYC7rq2N5VcrqOMoBP-kQ=/fit-in/220x220/filters:fill(white)/product/22/71376/1.jpg?2379,975,Samsung ,2Pin Fast Charger With Cable For Samsung - Black
https://static.daraz.pk/69pXXgVfh0FvOiCN1xsAgHWX4xQ=/fit-in/220x220/filters:fill(white)/product/31/89276/1.jpg?5704,1300,Samsung ,Glass Screen Protector For S7 Edge - Gold
https://static.daraz.pk/3tOxD2UHJvA1NuBT1dkdVm1vuqs=/fit-in/220x220/filters:fill(white)/product/41/50376/1.jpg?1889,1111,Samsung ,Galaxy Note 3 Genuine Fast Charger With Cable - White
https://static.daraz.pk/v59Mh08AUJMFL-0hppqJP7QUO-8=/fit-in/220x220/filters:fill(white)/product/78/28276/1.jpg?4681,1195,Samsung ,Battery for Samsung Galaxy S3
https://static.daraz.pk/wa8q5-v1Gk2PkowTRQujnbBWYx4=/fit-in/220x220/filters:fill(white)/product/62/33576/1.jpg?1338,795,Samsung ,Fast Charger With Usb Cable For Galaxy C5/C7- White
https://static.daraz.pk/11_Q9PJQiokKBd7WrSalevp8EWc=/fit-in/220x220/filters:fill(white)/product/42/33576/1.jpg?1312,795,Samsung ,Fast Charger With Usb Cable For Galaxy S6/S6 Edge/S6 Edge Plus - White
https://static.daraz.pk/xLuiKxtp2NoUPiOoag8HeA5yrdY=/fit-in/220x220/filters:fill(white)/product/12/33576/1.jpg?1281,795,Samsung ,Fast Charger With Usb Cable For Galaxy Note 5/Note 4 - White
https://static.daraz.pk/vkszxw4_846x97iANilUWORFjpc=/fit-in/220x220/filters:fill(white)/product/61/33576/1.jpg?1236,855,Samsung ,Fast Charger With Usb Cable For Galaxy S8/S8 Plus - White
https://static.daraz.pk/NXjLHzbKiiHAR5fKs947dVP11l8=/fit-in/220x220/filters:fill(white)/product/69/23576/1.jpg?0925,845,Samsung ,Fast Charger With Usb Cable For Galaxy S7/S7 Edge - White
