[u'https://www.daraz.pk/symphony/?q=samsung', u'Symphony ']
[u'https://www.daraz.pk/swiss-voice/?q=samsung', u'Swiss Voice']
[u'https://www.daraz.pk/encore-case/?q=samsung', u'Encore Case']
[u'https://www.daraz.pk/s-tek/?q=samsung', u'S-TEK']
[u'https://www.daraz.pk/ali-enterprises/?q=samsung', u'Ali Enterprises']
[u'https://www.daraz.pk/shop-now/?q=samsung', u'Shop Now']
[u'https://www.daraz.pk/blackberry/?q=samsung', u'Blackberry']
[u'https://www.daraz.pk/qmobile-feature-phone/?q=samsung', u'QMobile Feature Phone']
[u'https://www.daraz.pk/manhattan/?q=samsung', u'Manhattan']
[u'https://www.daraz.pk/haier/?q=samsung', u'Haier']
[u'https://www.daraz.pk/blaze/?q=samsung', u'BLAZE']
[u'https://www.daraz.pk/hd-electronic1/?q=samsung', u'HD Electronic']
[u'https://www.daraz.pk/beats/?q=samsung', u'Beats']
[u'https://www.daraz.pk/optimum-nutrition/?q=samsung', u'Optimum Nutrition']
[u'https://www.daraz.pk/travel_blue/?q=samsung', u'Travel Blue']
[u'https://www.daraz.pk/shure/?q=samsung', u'Shure']
[u'https://www.daraz.pk/ipega/?q=samsung', u'Ipega']
[u'https://www.daraz.pk/gear4/?q=samsung', u'Gear4']
[u'https://www.daraz.pk/m-speaker/?q=samsung', u'M Speaker']
[u'https://www.daraz.pk/camelion/?q=samsung', u'Camelion']
[u'https://www.daraz.pk/pearl/?q=samsung', u'Pearl']
[u'https://www.daraz.pk/amb/?q=samsung', u'AMB']
[u'https://www.daraz.pk/blue-music/?q=samsung', u'Blue Music']
[u'https://www.daraz.pk/tronsmart/?q=samsung', u'Tronsmart ']
[u'https://www.daraz.pk/net-world/?q=samsung', u'Net World']
[u'https://www.daraz.pk/kingswear/?q=samsung', u'Kingswear']
[u'https://www.daraz.pk/vr-case/?q=samsung', u'VR Case']
[u'https://www.daraz.pk/shopnsave/?q=samsung', u'ShopnSave']
[u'https://www.daraz.pk/technoholics/?q=samsung', u'Technoholics']
[u'https://www.daraz.pk/gadget-arena/?q=samsung', u'Gadget Arena']
[u'https://www.daraz.pk/innoverzgen/?q=samsung', u'Innoverzgen']
[u'https://www.daraz.pk/aukey/?q=samsung', u'AUKEY']
[u'https://www.daraz.pk/mks-store/?q=samsung', u'MKS Store']
[u'https://www.daraz.pk/a-h-accessories/?q=samsung', u'A&H Accessories.']
[u'https://www.daraz.pk/chs/?q=samsung', u'CHS']
[u'https://www.daraz.pk/google/?q=samsung', u'Google']
[u'https://www.daraz.pk/mezone/?q=samsung', u'Mezone']
[u'https://www.daraz.pk/rauf-traders/?q=samsung', u'Rauf Traders']
[u'https://www.daraz.pk/wt/?q=samsung', u'WT']
[u'https://www.daraz.pk/mar-interprises/?q=samsung', u'MAR Interprises']
[u'https://www.daraz.pk/generic/?q=samsung', u'Generic']
[u'https://www.daraz.pk/nutrex/?q=samsung', u'Nutrex']
[u'https://www.daraz.pk/mpow/?q=samsung', u'Mpow']
[u'https://www.daraz.pk/tdk/?q=samsung', u'TDK']
[u'https://www.daraz.pk/rastabanana/?q=samsung', u'Rastabanana']
[u'https://www.daraz.pk/uiisii/?q=samsung', u'Uiisii']
[u'https://www.daraz.pk/deals-pk/?q=samsung', u'Deals Pk']
[u'https://www.daraz.pk/let-s-shop/?q=samsung', u"Let's Shop"]
[u'https://www.daraz.pk/sf-collections/?q=samsung', u'SF Collections']
[u'https://www.daraz.pk/seq/?q=samsung', u'SEQ']
[u'https://www.daraz.pk/electro-house/?q=samsung', u'Electro House']
[u'https://www.daraz.pk/al-jannat/?q=samsung', u'Al Jannat']
